layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,0.0000000000,608
-1,1,0,0.0000000000,0.0000000000,608
-1,2,0,0.0000000000,2.2150759103,220
-1,2,1,2.2150759103,4.4301518206,144
-1,2,2,4.4301518206,6.6452277309,244
-1,3,0,0.0000000000,0.0000000000,608
-1,4,0,0.0000000000,0.0000000000,608
-1,5,0,0.0000000000,0.0000000000,608
-1,6,0,0.0000000000,0.2154409846,561
-1,6,1,0.2154409846,0.4308819692,9
-1,6,2,0.4308819692,0.6463229538,17
-1,6,3,0.6463229538,0.8617639384,7
-1,6,4,0.8617639384,1.0772049230,6
-1,6,5,1.0772049230,1.2926459076,3
-1,6,6,1.2926459076,1.5080868922,4
-1,6,7,1.5080868922,1.7235278768,1
-1,7,0,0.0000000000,0.0000000000,608
