layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,1.9864674807,6.5445163666,174
-1,0,1,6.5445163666,11.1025652525,1322
-1,0,2,11.1025652525,15.6606141384,3251
-1,0,3,15.6606141384,20.2186630243,4192
-1,0,4,20.2186630243,24.7767119102,1385
-1,0,5,24.7767119102,29.3347607961,308
-1,0,6,29.3347607961,33.8928096820,29
-1,0,7,33.8928096820,38.4508585679,10
-1,0,8,38.4508585679,43.0089074538,3
-1,0,9,43.0089074538,47.5669563397,1
-1,1,0,0.0000000000,6.6954800454,1012
-1,1,1,6.6954800454,13.3909600908,3177
-1,1,2,13.3909600908,20.0864401362,3953
-1,1,3,20.0864401362,26.7819201816,1976
-1,1,4,26.7819201816,33.4774002270,529
-1,1,5,33.4774002270,40.1728802724,23
-1,1,6,40.1728802724,46.8683603178,5
-1,2,0,0.0000000000,3.2436956843,6434
-1,2,1,3.2436956843,6.4873913686,2147
-1,2,2,6.4873913686,9.7310870529,1988
-1,2,3,9.7310870529,12.9747827372,106
-1,3,0,0.0000000000,2.4359505259,7751
-1,3,1,2.4359505259,4.8719010518,472
-1,3,2,4.8719010518,7.3078515777,2435
-1,3,3,7.3078515777,9.7438021036,17
-1,4,0,0.0000000000,0.0000000000,10675
