layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,0.0000000000,21472
-1,1,0,0.0000000000,0.0000000000,21472
-1,2,0,0.0000000000,0.0173715863,21471
-1,2,146,2.5362515998,2.5536231861,1
-1,3,0,0.0000000000,34.6632844248,6051
-1,3,1,34.6632844248,69.3265688496,9729
-1,3,2,69.3265688496,103.9898532744,3345
-1,3,3,103.9898532744,138.6531376992,1795
-1,3,4,138.6531376992,173.3164221240,447
-1,3,5,173.3164221240,207.9797065488,91
-1,3,6,207.9797065488,242.6429909736,13
-1,3,7,242.6429909736,277.3062753984,1
-1,4,0,0.0000000000,0.0000000000,21472
-1,5,0,0.0000000000,0.0000000000,21472
-1,6,0,0.0000000000,0.0000000000,21472
-1,7,0,0.0000000000,0.0044919305,21470
-1,7,93,0.4177495365,0.4222414670,1
-1,7,113,0.5075881465,0.5120800770,1
-1,8,0,0.0000000000,0.0000000000,21472
-1,9,0,0.0000000000,0.0000000000,21472
-1,10,0,0.0000000000,2.4105435320,21400
-1,10,1,2.4105435320,4.8210870640,2
-1,10,2,4.8210870640,7.2316305960,4
-1,10,3,7.2316305960,9.6421741280,5
-1,10,4,9.6421741280,12.0527176600,4
-1,10,5,12.0527176600,14.4632611920,5
-1,10,6,14.4632611920,16.8738047240,5
-1,10,7,16.8738047240,19.2843482560,8
-1,10,8,19.2843482560,21.6948917880,5
-1,10,9,21.6948917880,24.1054353200,7
-1,10,10,24.1054353200,26.5159788520,2
-1,10,11,26.5159788520,28.9265223840,3
-1,10,12,28.9265223840,31.3370659160,1
-1,10,13,31.3370659160,33.7476094480,2
-1,10,14,33.7476094480,36.1581529800,1
-1,10,15,36.1581529800,38.5686965120,2
-1,10,17,40.9792400440,43.3897835760,2
-1,10,18,43.3897835760,45.8003271080,1
-1,10,19,45.8003271080,48.2108706400,1
-1,10,23,55.4425012360,57.8530447680,1
-1,10,26,62.6741318320,65.0846753640,1
-1,10,27,65.0846753640,67.4952188960,1
-1,10,30,72.3163059600,74.7268494920,2
-1,10,31,74.7268494920,77.1373930240,1
-1,10,32,77.1373930240,79.5479365560,2
-1,10,36,86.7795671520,89.1901106840,1
-1,10,42,101.2428283440,103.6533718760,1
-1,10,52,125.3482636640,127.7588071960,1
-1,10,59,142.2220683880,144.6326119200,1
-1,11,0,0.0000000000,0.0000000000,21472
-1,12,0,0.0000000000,0.0000000000,21472
-1,13,0,0.0000000000,0.0000000000,21472
-1,14,0,0.0000000000,0.0000000000,21472
-1,15,0,0.0000000000,0.0000000000,21472
