layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,0.0000000000,1937
-1,1,0,0.0000000000,0.0000000000,1937
-1,2,0,0.0000000000,0.0000000000,1937
-1,3,0,0.0000000000,0.0000000000,1937
-1,4,0,0.0000000000,0.0000000000,1937
-1,5,0,0.0000000000,0.0000000000,1937
-1,6,0,0.0000000000,0.1159525395,1935
-1,6,23,2.6669084085,2.7828609480,1
-1,6,36,4.1742914220,4.2902439615,1
-1,7,0,0.0000000000,0.0000000000,1937
-1,8,0,0.0000000000,0.0000000000,1937
-1,9,0,0.0000000000,0.0000000000,1937
-1,10,0,0.0000000000,0.0000000000,1937
-1,11,0,0.0000000000,0.0000000000,1937
-1,12,0,0.0000000000,0.0000000000,1937
-1,13,0,0.0000000000,0.0000000000,1937
-1,14,0,0.0000000000,0.0000000000,1937
-1,15,0,0.0000000000,0.0000000000,1937
-1,16,0,0.0000000000,0.0000000000,1937
-1,17,0,0.0000000000,0.0000000000,1937
-1,18,0,0.0000000000,0.0000000000,1937
-1,19,0,0.0000000000,0.0000000000,1937
-1,20,0,0.0000000000,0.5689213353,1842
-1,20,1,0.5689213353,1.1378426706,17
-1,20,2,1.1378426706,1.7067640059,14
-1,20,3,1.7067640059,2.2756853412,17
-1,20,4,2.2756853412,2.8446066765,12
-1,20,5,2.8446066765,3.4135280118,14
-1,20,6,3.4135280118,3.9824493471,10
-1,20,7,3.9824493471,4.5513706824,11
-1,21,0,0.0000000000,0.0000000000,1937
-1,22,0,0.0000000000,0.0000000000,1937
-1,23,0,0.0000000000,0.0000000000,1937
-1,24,0,0.0000000000,0.0000000000,1937
-1,25,0,0.0000000000,0.0000000000,1937
-1,26,0,0.0000000000,0.0000000000,1937
-1,27,0,0.0000000000,0.0000000000,1937
-1,28,0,0.0000000000,0.0000000000,1937
-1,29,0,0.0000000000,0.0000000000,1937
-1,30,0,0.0000000000,0.0000000000,1937
-1,31,0,0.0000000000,0.0000000000,1937
-1,32,0,0.0000000000,0.0000000000,1937
-1,33,0,0.0000000000,0.0000000000,1937
-1,34,0,0.0000000000,0.0000000000,1937
-1,35,0,0.0000000000,0.0000000000,1937
-1,36,0,0.0000000000,0.0000000000,1937
-1,37,0,0.0000000000,0.0000000000,1937
-1,38,0,0.0000000000,0.0000000000,1937
-1,39,0,0.0000000000,0.0000000000,1937
-1,40,0,0.0000000000,0.0000000000,1937
-1,41,0,0.0000000000,0.0000000000,1937
-1,42,0,0.0000000000,0.0000000000,1937
-1,43,0,0.0000000000,0.0000000000,1937
-1,44,0,0.0000000000,0.0000000000,1937
-1,45,0,0.0000000000,0.0000000000,1937
-1,46,0,0.0000000000,0.0000000000,1937
