layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,13.7219658443,31
-1,0,1,13.7219658443,27.4439316886,19
-1,0,2,27.4439316886,41.1658975329,12
-1,0,3,41.1658975329,54.8878633772,6
-1,1,0,0.0000000000,0.0000000000,68
-1,2,0,0.0000000000,0.0000000000,68
-1,3,0,0.0000000000,0.0000000000,68
-1,4,0,0.0000000000,0.0000000000,68
-1,5,0,0.2009808272,4.9661923510,4
-1,5,1,4.9661923510,9.7314038748,17
-1,5,2,9.7314038748,14.4966153986,24
-1,5,3,14.4966153986,19.2618269224,17
-1,5,4,19.2618269224,24.0270384462,5
-1,5,5,24.0270384462,28.7922499700,1
-1,6,0,0.0000000000,0.0000000000,68
-1,7,0,0.0000000000,0.0000000000,68
-1,8,0,0.0000000000,0.0000000000,68
