inputId,Score
0,9.8817
1,3.7829
2,3.3148
3,8.2230
4,3.3148
5,3.7378
6,3.7378
7,3.3148
8,11.3174
9,7.2181
10,4.6953
11,3.7829
12,8.2230
13,3.7829
14,173.9557
15,3.7829
16,9.3003
17,7.6076
18,3.3148
19,8.0563
20,7.5447
21,3.3148
22,7.8147
23,8.5768
24,3.3148
25,7.5747
26,8.8920
27,5.8660
28,8.1296
29,4.8150
30,10.9454
31,10.0415
32,9.1931
33,3.7378
34,3.3148
35,3.7378
36,4.6953
37,7.8147
38,8.0111
39,3.7378
40,8.1555
41,6.3992
42,5.1182
43,10.9307
44,3.7829
45,9.8534
46,11.5896
47,7.3505
48,3.3148
49,4.8150
50,12.0999
51,3.7378
52,6.8506
53,5.1182
54,7.3918
55,8.5768
56,8.7928
57,3.3148
58,16.3786
59,5.8660
60,5.1182
61,8.4530
62,8.0621
63,4.7887
64,5.9740
65,4.6953
66,3.5594
67,9.1931
68,9.3156
69,5.3473
70,7.6008
71,45.4777
72,5.4964
73,7.5289
74,7.0378
75,3.9341
76,6.3992
77,10.9336
78,3.9341
79,3.9341
80,9.0996
81,4.3152
82,8.4499
83,4.7887
84,7.4995
85,3.7829
86,5.8660
87,5.3473
88,6.9892
89,6.6901
90,9.8190
91,3.7829
92,4.6953
93,3.3148
94,3.7829
95,3.1365
96,3.7378
97,8.1555
98,5.8660
99,6.5211
100,3.7378
101,3.7378
102,4.2700
103,3.3148
104,6.4927
105,3.7829
106,21.8329
107,7.8347
108,7.8327
109,7.8147
110,8.2230
111,10.5167
112,8.4981
113,4.1766
114,7.6860
115,10.5167
116,6.8684
117,3.3148
118,7.8994
119,3.3148
120,3.7378
121,3.9341
122,3.7378
123,3.3148
124,3.7378
125,3.7378
126,9.8534
127,9.8563
128,23.2897
129,8.5400
130,4.6953
131,3.3148
132,5.6380
133,9.8563
134,7.2998
135,7.0512
136,5.1182
137,5.6380
138,3.3148
139,12.1198
140,12.0467
141,3.3148
142,4.1766
143,43.2804
144,8.1296
145,6.8222
146,9.3003
147,7.0766
148,6.7811
149,5.1699
150,3.7378
151,7.9258
152,3.3148
153,7.2631
154,5.9645
155,5.1182
156,7.8147
157,3.7829
158,3.7829
159,11.3499
160,3.7378
161,4.8150
162,3.1365
163,16.6424
164,3.3148
165,3.7829
166,7.3187
167,3.3148
168,9.8563
169,3.3148
170,9.1931
171,3.7378
172,5.1182
173,3.3148
174,7.6008
175,12.3842
176,7.2631
177,8.0977
178,7.8186
179,4.8150
180,3.6046
181,7.0378
182,3.1365
183,3.7378
184,4.3152
185,7.7734
186,3.7378
187,5.8660
188,9.0749
189,4.1766
190,3.3148
191,25.0231
192,13.3480
193,5.1182
194,9.1931
195,8.1555
196,7.8147
197,3.7378
198,9.1931
199,173.9557
200,4.7887
201,11.8155
202,8.7417
203,3.7378
204,8.8507
205,4.8339
206,9.8563
207,4.6953
208,19.4592
209,3.3148
210,7.5881
211,4.8404
212,6.4927
213,11.2446
214,7.0766
215,3.9341
216,5.8105
217,3.3148
218,9.6858
219,9.8534
220,4.0254
221,3.5594
222,11.1560
223,3.7829
224,5.5510
225,3.3148
226,4.6953
227,20.1240
228,4.6367
229,3.3148
230,8.8863
231,3.3148
232,9.3003
233,4.7887
234,6.3992
235,5.3473
236,4.7887
237,7.5556
238,181.9989
239,10.0698
240,4.6953
241,3.3148
242,3.6046
243,3.3148
244,3.3148
245,10.4928
246,15.6255
247,6.5191
248,5.9740
249,70.3397
250,7.5289
251,3.3148
252,4.6367
253,3.7829
254,8.5807
255,3.7829
256,3.7378
257,5.1182
258,7.5556
259,3.3148
260,3.9341
261,3.3148
262,7.8147
263,7.5699
264,3.7829
265,3.3148
266,3.3148
267,6.6901
268,3.5594
269,12.6416
270,8.8920
271,10.8150
272,3.3148
273,9.5302
274,4.6367
275,4.8150
276,9.9635
277,4.7887
278,5.1182
279,3.7378
280,4.2700
281,3.9341
282,3.3148
283,9.8187
284,3.3148
285,3.7829
286,9.8534
287,10.5167
288,3.3148
289,3.7829
290,3.3148
291,3.7378
292,10.9454
293,7.4007
294,8.2074
295,6.6081
296,3.9341
297,3.9341
298,8.0111
299,4.3152
300,11.8691
301,4.3152
302,4.6367
303,75.2131
304,7.7922
305,3.9341
306,6.9440
307,7.2631
308,3.5594
309,7.8147
310,3.5594
311,4.6367
312,12.0523
313,5.8805
314,11.5364
315,25.9193
316,6.7811
317,9.0038
318,4.6367
319,11.6969
320,3.3148
321,3.3148
322,7.2631
323,7.9194
324,3.7378
325,3.3148
326,7.1327
327,12.0880
328,6.8222
329,8.6481
330,6.4927
331,4.8150
332,10.9454
333,5.9645
334,3.3148
335,4.5995
336,3.7829
337,4.6953
338,10.9307
339,3.3148
340,3.7378
341,7.5556
342,4.5995
343,5.3473
344,6.8222
345,3.9341
346,7.3773
347,3.3148
348,3.3148
349,4.6367
350,45.4777
351,5.1182
352,4.8339
353,3.7829
354,5.1182
355,4.2700
356,3.3148
357,10.4928
358,3.7829
359,8.9337
360,4.6953
361,3.7378
362,7.3773
363,5.8660
364,3.3148
365,3.3148
366,10.6863
367,4.1766
368,3.7829
369,7.5447
370,8.7701
371,3.9341
372,6.8684
373,3.7829
374,5.6380
375,3.1365
376,4.6953
377,3.3148
378,5.9740
379,7.0512
380,5.3473
381,4.6953
382,7.2631
383,9.0996
384,6.8222
385,3.7378
386,8.0621
387,6.3992
388,3.3148
389,8.8920
390,3.3148
391,3.8471
392,5.1182
393,3.3148
394,6.5379
395,57.0257
396,3.7829
397,4.9671
398,5.3473
399,3.5594
400,4.2700
401,10.2869
402,4.6953
403,8.5807
404,3.9341
405,3.1365
406,3.7378
407,3.3148
408,3.3148
409,7.3505
410,4.1766
411,3.3148
412,3.6046
413,3.3148
414,4.7887
415,6.1955
416,3.3148
417,3.7378
418,8.8920
419,5.8805
420,4.8150
421,3.3148
422,3.3148
423,7.8347
424,8.8695
425,3.7829
426,9.3003
427,4.6367
428,5.6380
429,3.3148
430,3.3148
431,3.7829
432,10.0937
433,9.7515
434,7.0766
435,4.7887
436,6.3992
437,8.8720
438,10.0808
439,8.6485
440,3.7829
441,5.1182
442,9.2328
443,3.7378
444,10.0698
445,7.3505
446,3.3148
447,5.9740
448,5.1182
449,4.5995
450,6.3035
451,3.9341
452,5.3473
453,3.3148
454,10.5167
455,3.9341
456,3.7378
457,8.4360
458,4.8150
459,3.3148
460,3.3148
461,7.9977
462,4.8339
463,8.6743
464,3.3148
465,3.5594
466,7.5289
467,5.3473
468,3.7829
469,10.4928
470,3.3148
471,9.5226
472,4.2700
473,12.3296
474,3.1365
475,5.1182
476,8.8863
477,3.8889
478,173.9557
479,8.2074
480,3.3148
481,9.0749
482,3.1365
483,4.6367
484,3.9341
485,9.1256
486,5.8660
487,3.9341
488,16.9504
489,3.9341
490,3.3148
491,3.7829
492,6.1955
493,7.3693
494,10.9336
495,3.7829
496,3.3148
497,7.5079
498,7.3505
499,8.8920
500,7.4995
501,3.7829
502,5.3473
503,11.2527
504,45.4777
505,9.0996
506,17.0899
507,3.3148
508,3.9341
