inputId,Score
0,279.3077
1,213.0027
2,312.2778
3,346.8166
4,79.0597
5,312.2778
6,382.8815
7,381.3554
8,316.1065
9,9.6945
10,484.9292
11,277.7391
12,346.8166
13,12.1262
14,177.7063
15,213.0027
16,282.0377
17,415.8942
18,346.8166
19,247.4989
20,45.6196
21,279.3077
22,247.8399
23,385.6540
24,316.5765
25,346.8166
26,277.7391
27,45.5663
28,9.4714
29,282.0377
30,450.3904
31,346.8166
32,381.3554
33,415.8516
34,312.2778
35,312.2778
36,277.7391
37,382.8815
38,282.0377
39,12.1262
40,277.7391
41,415.8516
42,277.7391
43,346.8166
44,346.8166
45,450.3904
46,45.0963
47,381.3554
48,381.3554
49,484.9292
50,277.7391
51,180.1486
52,346.8166
53,277.7391
54,415.8516
55,346.8166
56,282.0377
57,277.7391
58,381.3554
59,484.9292
60,181.1940
61,277.7391
62,79.0065
63,418.8065
64,277.7391
65,312.2778
66,313.8465
67,277.7391
68,10.6753
69,312.2778
70,116.2108
71,453.5684
72,453.5684
73,381.3554
74,113.5453
75,346.8166
76,346.8166
77,450.4329
78,351.5207
79,381.3554
80,381.3554
81,346.8166
82,316.5765
83,346.8166
84,484.9292
85,381.3554
86,277.7391
87,12.5110
88,79.0065
89,346.8166
90,346.8166
91,484.9292
92,12.1262
93,312.2778
94,312.2778
95,484.9292
96,313.8465
97,346.8166
98,12.5110
99,282.0377
100,247.5415
101,484.9292
102,381.3554
103,280.6940
104,450.3904
105,381.3554
106,415.8516
107,312.2778
108,213.0027
109,93.1157
110,277.7391
111,484.9292
112,346.8166
113,418.8065
114,346.8166
115,382.8815
116,381.3554
117,312.2778
118,312.2778
119,12.1262
120,349.7290
121,346.8166
122,415.8516
123,415.8516
124,277.7391
125,415.8516
126,277.7391
127,450.3904
128,282.0377
129,381.3554
130,213.0027
131,484.9292
132,381.3554
133,382.8815
134,484.9292
135,486.4978
136,346.8166
137,484.9292
138,417.4202
139,384.4909
140,111.8713
141,419.0297
142,346.8166
143,415.8516
144,112.1590
145,346.8166
146,484.9292
147,282.0377
148,277.7391
149,346.8166
